coursename,grade,price
数学,二年级,525
数学,五年级,693
数学,四年级,1480
语文,六年级,300
语文,六年级,900
数学,三年级,693
联报,六年级,1260
英语,六年级,4320
数学,四年级,1260
联报,六年级,985
数学,二年级,1125
数学,四年级,693
联报,六年级,1809
英语,六年级,240
英语,六年级,4320
语文,六年级,2799
英语,一年级,1440
英语,四年级,1440
联报,六年级,633
联报,六年级,2268
语文,六年级,499
语文,六年级,729
英语,三年级,1440
英语,六年级,1440
数学,四年级,472
英语,六年级,504
英语,六年级,180
数学,三年级,1260
英语,六年级,8640
语文,六年级,2999
语文,六年级,266
语文,六年级,2851
联报,六年级,2268
联报,六年级,140
联报,六年级,398
英语,六年级,180
数学,六年级,220
英语,二年级,1440
语文,六年级,270
联报,六年级,120
英语,六年级,985
英语,六年级,288
联报,六年级,268
语文,六年级,2142
语文,六年级,1620
数学,五年级,472
联报,六年级,360
数学,二年级,432
数学,三年级,245
语文,六年级,180
语文,六年级,288
英语,六年级,180
英语,六年级,234
英语,六年级,180
联报,六年级,1020
数学,五年级,1260
英语,六年级,234
英语,六年级,180
数学,三年级,1480
数学,五年级,1480
语文,六年级,300
联报,六年级,540
语文,六年级,1080
英语,六年级,180
数学,六年级,1260
联报,六年级,360
英语,六年级,504
数学,四年级,245
联报,六年级,2400
英语,五年级,1440
英语,六年级,240
联报,六年级,405
